source,target,weight
"Di Saverio, Salomone_2025-11-19T21:18:17","Selvaggi, Lucio_2025-11-19T21:18:17",0.125
"Di Saverio, Salomone_2025-11-19T21:18:17","Sperlongano, Pasquale_2025-11-19T21:18:17",0.125
"Di Saverio, Salomone_2025-11-19T21:18:17","Pata, Francesco_2025-11-19T21:18:17",0.125
"Di Saverio, Salomone_2025-11-19T21:18:17","De Luca, Giuseppe Massimiliano_2025-11-19T21:18:17",0.125
"Di Saverio, Salomone_2025-11-19T21:18:17","Pellino, Gianluca_2025-11-19T21:18:17",0.125
"Di Saverio, Salomone_2025-11-19T21:18:17","Nardo, Bruno_2025-11-19T21:18:17",0.125
"Di Saverio, Salomone_2025-11-19T21:18:17","Selvaggi, Francesco_2025-11-19T21:18:17",0.125
"Di Saverio, Salomone_2025-11-19T21:18:17","Podda, Mauro_2025-11-19T21:18:17",0.125
"Bormane, D. S._2025-11-19T21:27:53","Kedar, S. V._2025-11-19T21:27:53",1.0
"Hossameldin, Yehia H._2025-11-19T21:26:20","Faidallah, Ehab M._2025-11-19T21:26:20",0.3333333333333333
"Hossameldin, Yehia H._2025-11-19T21:26:20","Abd Rabbo, Saber M._2025-11-19T21:26:20",0.3333333333333333
"Hossameldin, Yehia H._2025-11-19T21:26:20","El-Mashad, Yehia A._2025-11-19T21:26:20",0.3333333333333333
"Khramchenkova, Rezida Kh_2025-11-19T21:48:24",Nabiullin Nail G._2025-11-19T21:29:06,1.0
"von Arx, Georg_2025-11-19T21:49:26","Fonti, Patrick_2025-11-19T21:22:42",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Seftigen, Kristina_2025-11-19T21:25:49",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Grudd, Håkan_2025-11-19T21:47:34",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Goosse, Hugues_2025-11-19T21:49:26",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Nievergelt, Daniel_2025-11-19T21:49:26",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Stoffel, Markus_2025-11-19T21:18:20",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Pellizzari, Elena_2025-11-19T21:49:26",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Gunnarson, Björn E_2025-11-19T21:47:34",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Carrer, Marco_2025-11-19T21:49:26",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Fonti, Marina V_2025-11-19T21:49:26",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Frank, David C._2025-11-19T21:25:40",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Esper, Jan_2025-11-19T21:15:51",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Björklund, Jesper_2025-11-19T21:49:26",0.07142857142857142
"von Arx, Georg_2025-11-19T21:49:26","Kottlow, Sven_2025-11-19T21:49:26",0.07142857142857142
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Penske, Sandra_2025-11-19T21:47:49",0.02040816326530612
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Pinhasi, Ron_2025-11-19T21:17:38",0.023809523809523808
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Tukhbatova, Rezeda I._2025-11-19T21:47:49",0.02040816326530612
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Tóth, Zoltán_2025-11-19T21:46:26",0.023809523809523808
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Geary, Patrick J._2025-11-19T21:15:24",0.05714285714285714
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Popli, Divyaratan_2025-11-19T21:16:50",0.03333333333333333
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Balogh, Csilla_2025-11-19T21:16:50",0.05714285714285714
"Gnecchi-Ruscone, Guido Alberto_2025-11-19T21:16:50","Gulyás, Bence_2025-11-19T21:16:50",0.03333333333333333
